lista_nominal,frecuencia,frecuencia_%
1028,0.0010240655401945725,0.1
1902,0.0010240655401945725,0.1
1281,0.0010240655401945725,0.1
1349,0.0010240655401945725,0.1
1443,0.0010240655401945725,0.1
1135,0.0010240655401945725,0.1
598,0.0010240655401945725,0.1
1943,0.0010240655401945725,0.1
2083,0.0010240655401945725,0.1
1062,0.0010240655401945725,0.1
1171,0.0010240655401945725,0.1
1473,0.0010240655401945725,0.1
867,0.0010240655401945725,0.1
891,0.0010240655401945725,0.1
1096,0.0010240655401945725,0.1
972,0.0010240655401945725,0.1
1607,0.0010240655401945725,0.1
1510,0.0010240655401945725,0.1
1481,0.0010240655401945725,0.1
1099,0.0010240655401945725,0.1
982,0.0010240655401945725,0.1
1114,0.0010240655401945725,0.1
1179,0.0010240655401945725,0.1
856,0.0010240655401945725,0.1
1128,0.0010240655401945725,0.1
1338,0.0010240655401945725,0.1
1739,0.0010240655401945725,0.1
1634,0.0010240655401945725,0.1
1263,0.0010240655401945725,0.1
820,0.0010240655401945725,0.1
1818,0.0010240655401945725,0.1
1080,0.0010240655401945725,0.1
1306,0.0010240655401945725,0.1
1534,0.0010240655401945725,0.1
1043,0.0010240655401945725,0.1
530,0.0010240655401945725,0.1
605,0.0010240655401945725,0.1
1364,0.0010240655401945725,0.1
1875,0.0010240655401945725,0.1
535,0.0010240655401945725,0.1
1326,0.0010240655401945725,0.1
1145,0.0010240655401945725,0.1
2084,0.0010240655401945725,0.1
738,0.0010240655401945725,0.1
2142,0.0010240655401945725,0.1
845,0.0010240655401945725,0.1
1237,0.0010240655401945725,0.1
955,0.0010240655401945725,0.1
2143,0.0010240655401945725,0.1
762,0.0010240655401945725,0.1
860,0.0010240655401945725,0.1
1804,0.0010240655401945725,0.1
824,0.0010240655401945725,0.1
652,0.0010240655401945725,0.1
1077,0.0010240655401945725,0.1
1060,0.0010240655401945725,0.1
1010,0.0010240655401945725,0.1
816,0.0010240655401945725,0.1
841,0.0010240655401945725,0.1
1579,0.0010240655401945725,0.1
697,0.0007680491551459293,0.08
1421,0.0007680491551459293,0.08
796,0.0007680491551459293,0.08
952,0.0007680491551459293,0.08
1228,0.0007680491551459293,0.08
1138,0.0007680491551459293,0.08
551,0.0007680491551459293,0.08
2021,0.0007680491551459293,0.08
439,0.0007680491551459293,0.08
710,0.0007680491551459293,0.08
1714,0.0007680491551459293,0.08
1557,0.0007680491551459293,0.08
1092,0.0007680491551459293,0.08
2452,0.0007680491551459293,0.08
1932,0.0007680491551459293,0.08
770,0.0007680491551459293,0.08
1936,0.0007680491551459293,0.08
237,0.0007680491551459293,0.08
1069,0.0007680491551459293,0.08
2358,0.0007680491551459293,0.08
240,0.0007680491551459293,0.08
844,0.0007680491551459293,0.08
1531,0.0007680491551459293,0.08
346,0.0007680491551459293,0.08
1878,0.0007680491551459293,0.08
2287,0.0007680491551459293,0.08
744,0.0007680491551459293,0.08
953,0.0007680491551459293,0.08
1054,0.0007680491551459293,0.08
916,0.0007680491551459293,0.08
759,0.0007680491551459293,0.08
1153,0.0007680491551459293,0.08
977,0.0007680491551459293,0.08
1270,0.0007680491551459293,0.08
2717,0.0007680491551459293,0.08
1332,0.0007680491551459293,0.08
1105,0.0007680491551459293,0.08
783,0.0007680491551459293,0.08
825,0.0007680491551459293,0.08
2389,0.0007680491551459293,0.08
1178,0.0007680491551459293,0.08
1300,0.0007680491551459293,0.08
1362,0.0007680491551459293,0.08
1568,0.0007680491551459293,0.08
558,0.0007680491551459293,0.08
847,0.0007680491551459293,0.08
852,0.0007680491551459293,0.08
1004,0.0007680491551459293,0.08
1320,0.0007680491551459293,0.08
1084,0.0007680491551459293,0.08
610,0.0007680491551459293,0.08
624,0.0007680491551459293,0.08
674,0.0007680491551459293,0.08
1163,0.0007680491551459293,0.08
1267,0.0007680491551459293,0.08
1855,0.0007680491551459293,0.08
1346,0.0007680491551459293,0.08
1428,0.0007680491551459293,0.08
1363,0.0007680491551459293,0.08
1772,0.0007680491551459293,0.08
1488,0.0007680491551459293,0.08
