lista_hombres,frecuencia,frecuencia_%
273,0.0012800819252432156,0.13
582,0.0012800819252432156,0.13
561,0.0012800819252432156,0.13
600,0.0012800819252432156,0.13
602,0.0012800819252432156,0.13
650,0.0012800819252432156,0.13
317,0.0012800819252432156,0.13
627,0.0012800819252432156,0.13
438,0.0012800819252432156,0.13
382,0.0012800819252432156,0.13
384,0.0012800819252432156,0.13
543,0.0012800819252432156,0.13
702,0.0012800819252432156,0.13
534,0.0012800819252432156,0.13
883,0.0012800819252432156,0.13
465,0.0012800819252432156,0.13
490,0.0012800819252432156,0.13
625,0.0012800819252432156,0.13
655,0.0012800819252432156,0.13
801,0.0012800819252432156,0.13
608,0.0012800819252432156,0.13
1083,0.0012800819252432156,0.13
968,0.0012800819252432156,0.13
635,0.0012800819252432156,0.13
514,0.0012800819252432156,0.13
662,0.0012800819252432156,0.13
671,0.0012800819252432156,0.13
945,0.0012800819252432156,0.13
574,0.0012800819252432156,0.13
649,0.0012800819252432156,0.13
319,0.0012800819252432156,0.13
429,0.0012800819252432156,0.13
774,0.0012800819252432156,0.13
502,0.0012800819252432156,0.13
544,0.0012800819252432156,0.13
981,0.0012800819252432156,0.13
471,0.0012800819252432156,0.13
244,0.0012800819252432156,0.13
581,0.0012800819252432156,0.13
697,0.0012800819252432156,0.13
1006,0.0012800819252432156,0.13
573,0.0012800819252432156,0.13
616,0.0012800819252432156,0.13
381,0.0012800819252432156,0.13
305,0.0012800819252432156,0.13
622,0.0012800819252432156,0.13
642,0.0012800819252432156,0.13
437,0.0012800819252432156,0.13
136,0.0012800819252432156,0.13
387,0.0012800819252432156,0.13
428,0.0012800819252432156,0.13
755,0.0012800819252432156,0.13
686,0.0012800819252432156,0.13
385,0.0012800819252432156,0.13
632,0.0012800819252432156,0.13
878,0.0012800819252432156,0.13
756,0.0012800819252432156,0.13
322,0.0012800819252432156,0.13
116,0.0012800819252432156,0.13
737,0.0012800819252432156,0.13
812,0.0012800819252432156,0.13
640,0.0012800819252432156,0.13
463,0.0012800819252432156,0.13
482,0.0012800819252432156,0.13
509,0.0012800819252432156,0.13
513,0.0012800819252432156,0.13
865,0.0012800819252432156,0.13
461,0.0012800819252432156,0.13
445,0.0012800819252432156,0.13
639,0.0010240655401945725,0.1
842,0.0010240655401945725,0.1
618,0.0010240655401945725,0.1
1034,0.0010240655401945725,0.1
280,0.0010240655401945725,0.1
1118,0.0010240655401945725,0.1
703,0.0010240655401945725,0.1
377,0.0010240655401945725,0.1
933,0.0010240655401945725,0.1
466,0.0010240655401945725,0.1
994,0.0010240655401945725,0.1
477,0.0010240655401945725,0.1
772,0.0010240655401945725,0.1
456,0.0010240655401945725,0.1
523,0.0010240655401945725,0.1
921,0.0010240655401945725,0.1
764,0.0010240655401945725,0.1
556,0.0010240655401945725,0.1
284,0.0010240655401945725,0.1
731,0.0010240655401945725,0.1
552,0.0010240655401945725,0.1
1011,0.0010240655401945725,0.1
425,0.0010240655401945725,0.1
412,0.0010240655401945725,0.1
241,0.0010240655401945725,0.1
190,0.0010240655401945725,0.1
530,0.0010240655401945725,0.1
944,0.0010240655401945725,0.1
546,0.0010240655401945725,0.1
606,0.0010240655401945725,0.1
792,0.0010240655401945725,0.1
1003,0.0010240655401945725,0.1
500,0.0010240655401945725,0.1
1067,0.0010240655401945725,0.1
379,0.0010240655401945725,0.1
700,0.0010240655401945725,0.1
676,0.0010240655401945725,0.1
524,0.0010240655401945725,0.1
922,0.0010240655401945725,0.1
528,0.0010240655401945725,0.1
824,0.0010240655401945725,0.1
754,0.0010240655401945725,0.1
818,0.0010240655401945725,0.1
781,0.0010240655401945725,0.1
262,0.0010240655401945725,0.1
265,0.0010240655401945725,0.1
694,0.0010240655401945725,0.1
636,0.0010240655401945725,0.1
1050,0.0010240655401945725,0.1
711,0.0010240655401945725,0.1
399,0.0010240655401945725,0.1
971,0.0010240655401945725,0.1
917,0.0010240655401945725,0.1
909,0.0010240655401945725,0.1
362,0.0010240655401945725,0.1
326,0.0010240655401945725,0.1
76,0.0010240655401945725,0.1
919,0.0010240655401945725,0.1
681,0.0010240655401945725,0.1
550,0.0010240655401945725,0.1
713,0.0010240655401945725,0.1
612,0.0010240655401945725,0.1
725,0.0010240655401945725,0.1
736,0.0010240655401945725,0.1
146,0.0010240655401945725,0.1
726,0.0010240655401945725,0.1
651,0.0010240655401945725,0.1
330,0.0010240655401945725,0.1
367,0.0010240655401945725,0.1
378,0.0010240655401945725,0.1
501,0.0010240655401945725,0.1
538,0.0010240655401945725,0.1
90,0.0010240655401945725,0.1
744,0.0010240655401945725,0.1
661,0.0010240655401945725,0.1
766,0.0010240655401945725,0.1
1065,0.0010240655401945725,0.1
1229,0.0010240655401945725,0.1
1094,0.0010240655401945725,0.1
663,0.0010240655401945725,0.1
1071,0.0010240655401945725,0.1
450,0.0010240655401945725,0.1
337,0.0010240655401945725,0.1
826,0.0010240655401945725,0.1
674,0.0010240655401945725,0.1
976,0.0010240655401945725,0.1
285,0.0010240655401945725,0.1
111,0.0010240655401945725,0.1
586,0.0010240655401945725,0.1
620,0.0010240655401945725,0.1
624,0.0010240655401945725,0.1
187,0.0010240655401945725,0.1
430,0.0010240655401945725,0.1
338,0.0010240655401945725,0.1
277,0.0010240655401945725,0.1
464,0.0010240655401945725,0.1
706,0.0010240655401945725,0.1
690,0.0010240655401945725,0.1
350,0.0010240655401945725,0.1
773,0.0010240655401945725,0.1
959,0.0010240655401945725,0.1
705,0.0010240655401945725,0.1
1357,0.0010240655401945725,0.1
648,0.0010240655401945725,0.1
723,0.0010240655401945725,0.1
1570,0.0010240655401945725,0.1
371,0.0010240655401945725,0.1
741,0.0010240655401945725,0.1
811,0.0010240655401945725,0.1
1033,0.0010240655401945725,0.1
761,0.0010240655401945725,0.1
474,0.0010240655401945725,0.1
900,0.0010240655401945725,0.1
542,0.0010240655401945725,0.1
910,0.0010240655401945725,0.1
891,0.0010240655401945725,0.1
1352,0.0010240655401945725,0.1
493,0.0010240655401945725,0.1
592,0.0010240655401945725,0.1
512,0.0010240655401945725,0.1
417,0.0010240655401945725,0.1
537,0.0010240655401945725,0.1
492,0.0010240655401945725,0.1
571,0.0010240655401945725,0.1
984,0.0010240655401945725,0.1
272,0.0010240655401945725,0.1
605,0.0010240655401945725,0.1
479,0.0010240655401945725,0.1
997,0.0010240655401945725,0.1
231,0.0010240655401945725,0.1
182,0.0010240655401945725,0.1
443,0.0010240655401945725,0.1
1052,0.0010240655401945725,0.1
637,0.0010240655401945725,0.1
567,0.0010240655401945725,0.1
1022,0.0007680491551459293,0.08
424,0.0007680491551459293,0.08
1224,0.0007680491551459293,0.08
475,0.0007680491551459293,0.08
975,0.0007680491551459293,0.08
738,0.0007680491551459293,0.08
249,0.0007680491551459293,0.08
364,0.0007680491551459293,0.08
678,0.0007680491551459293,0.08
1076,0.0007680491551459293,0.08
1040,0.0007680491551459293,0.08
504,0.0007680491551459293,0.08
740,0.0007680491551459293,0.08
871,0.0007680491551459293,0.08
1233,0.0007680491551459293,0.08
853,0.0007680491551459293,0.08
1163,0.0007680491551459293,0.08
595,0.0007680491551459293,0.08
1101,0.0007680491551459293,0.08
519,0.0007680491551459293,0.08
659,0.0007680491551459293,0.08
821,0.0007680491551459293,0.08
